_type,_id,_revision,_page.next,telkinio_pav,m_vietos_kodas,m_vietos_pav,koord,data,debitas,sroves_greitis,vandens_temp,suspend_medziagos,sarmingumas,deguon_istirpes,deguon_prisotinimas,ph,elektr_laidis,biochem_deg_suvartojimas,amonio_azotas,nitritu_azotas,nitratu_azotas,azotas_mineralinis,azotas_bendras,fosfatu_fosforas,fosforas_bendras,chem_deg_suvartojimas,anglingumas,chloridai,kalcis,kalis,magnis,natris,sulfatai,chlorofilas_a,kalcio_karbonatas,gyvsidabris,kadmis,nikelis,svinas,varis,chromas,vanadis,aliuminis,alavas,arsenas,cinkas,antracenas,fluorantenas,naftalenas,benz_a_pirenas,benz_b_fluorantenas,benz_k_fluorantenas,benz_ghi_perilenas,inden_123_cd_pirenas,p4_n_nonilfenolis,p4_n_oktilfenolis,p4_nonilfenolis,p4_nonilfenolis_sakot,p4_n_nonilfenolis_sakot,p4_tert_oktilfenolis,p4_t_oktilfenolio_dietoksilatas,p4_t_oktilfenolio_monoetoksilatas,p4_t_oktilfenolio_trietoksilatas,nonilfenoliai,pentachlorfenolis,benzenas,p12_dichloretanas,p123_trichlorbenzenas,p124_trichlorbenzenas,heksachlorbutadienas,trichloretilenas,tetrachlormetanas,dichlormetanas,tetrachloretilenas,trichlormetanas,aldrinas,dieldrinas,izodrinas,endrinas,alfa_heksachlorcikloheksanas,beta_heksachlorcikloheksanas,gama_heksachlorcikloheksanas,heksachlorbenzenas,pentachlorbenzenas,alfa_endosulfanas,beta_endosulfanas,o_p_ddt,p_p_ddd,p_p_ddt,p_p_dde,simazinas,atrazinas,diuronas,izoproturonas,chinoksifenas,aklonifenas,cibutrinas,terbutrinas,chlorpyrifosas,chlorfenvinfosas,trifluralinas,heptachloras,heptachloro_epoksidas,tributilalavo_katijonas,di2_etilheksilftalatas,chloralkanai,hbcdd,bde_28,bde_47,bde_85,bde_99,bde_100,bde_153,bde_154,pcb_28,pcb_52,pcb_101,pcb_118,pcb_138,pcb_153,pcb_180,p17_alfa_etinilestradiolis,p17_beta_estradiolis,estronas,eritromicinas,klaritromicinas,azitromicinas,amoksicilinas,ciprofloksacinas,diklofenakas,p26_di_tret_butil_4_metilfenolis,tiametoksamas,tiaklopridas,metiokarbas,oksadiazonas,trialatas,klotianidinas,imidaklopridas,acetamipridas,pfba,pfpea,pfhxa,pfhpa,pfoa,pfnr,pfda,pfunda,pfdoda,pfbs,pfhxs,pfhps,pfos,pfds,pfosa,dikofolis,alachloras,bifenoksas,cipermetrinas,dichlorvosas,hbcdd_izo_sum,pfos_dariniai,sulfametoksazolas,trimetoprimas,venlafaksinas,odesmetilvenlafaksinas,flukonazolas,penkonazolas,ipkonazolas,tebukonazolas,klotrimazolas,imazalilas,tetrakonazolas,dimoksistrobinas,famoksadonas,metaflumizonas,metkonazolas,mikonazolas,prochlorazas
datasets/gov/aaa/upiu_monitoringo_duomenys/UpiuValstybinioMonitoringoDuomenys,0014f942-4400-4670-8fa7-40a9768f4dcd,e0dc6c0e-0e24-405a-bc6e-a549888128be,,Grūda,LTR1300,Grūda ties Puvočiais,POINT (5998022 519948),2022-02-08,2.851,1.011,2.1,3.5,2.2,13.2,95.514,7.7,252,3.7,0.06,0.006,0.7,0.766,0.83,0.036,0.088,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/upiu_monitoringo_duomenys/UpiuValstybinioMonitoringoDuomenys,0018419d-2c87-46a7-b5e1-205b7cc2d136,285fda7a-f2bc-4fbc-96a1-508e879309d7,,Nevėžis,LTR40,Nevėžis aukščiau Raudondvario,POINT (6090872 487250),2019-01-07,22.4,0.34,0.1,14,5.7,12.8,,8.2,695,2.8,0.34,0.025,4.3,4.665,4.8,0.087,0.15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/upiu_monitoringo_duomenys/UpiuValstybinioMonitoringoDuomenys,00284c9b-e537-4985-b20c-d4c12a4bb68d,1bc745a4-9c84-420b-af28-0ab908151bd8,,Armona,LTR192,Armona žemiau santakos su Pavarkla,POINT (6117609 543873),2017-10-04,3.689,0.736,10.1,3.4,4.9,10.99,97.776,7.87,591,4.2,0.06,0.028,2.35,2.438,3.28,0.021,0.051,57,,8.26,91.0,3.8,41.0,3.8,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/upiu_monitoringo_duomenys/UpiuValstybinioMonitoringoDuomenys,0030c589-3a58-47ea-a8b6-ca2b8c898312,e8ed4e06-8fc0-4ac8-b9d5-590ef682531c,,NERIS,LTR50,Neris aukščiau Kauno,POINT (6091399 496152),2020-06-02,112.0,0.68,18.2,13,3.7,12.1,129.274,8.3,429,5.9,0.019,0.008,0.79,0.817,1.2,0.017,0.072,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/upiu_monitoringo_duomenys/UpiuValstybinioMonitoringoDuomenys,0038aa80-db96-4c2d-a584-25d7aafa761c,7d0bd328-cf50-4908-8508-6839c69d486f,,Įstras,LTR1563,Įstras ties Talačkoniais,POINT (6210016 522398),2020-02-10,,,2.4,10,5.7,11.18,81.546,7.8,1410,0.89,0.058,0.048,12,12.106,15.0,0.046,0.053,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/upiu_monitoringo_duomenys/UpiuValstybinioMonitoringoDuomenys,004ab742-ab19-428f-b652-036327e3bacd,538ad720-9d52-4a37-ad87-a9c2e50e3316,,Beržtalis,LTR1478,Beržtalis ties Geručiais,POINT (6243231 499280),2018-10-02,0.479,0.293,11.2,2.3,5.9,6.31,,7.82,749,1.9,0.011,0.001,0.073,0.085,0.626,0.042,0.073,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/upiu_monitoringo_duomenys/UpiuValstybinioMonitoringoDuomenys,005670e6-4280-4cb6-aa2c-482172709571,95038715-648f-4d96-a16f-02a99899fb6b,,Kražantė,LTR1282,Kražantė ties Piliukais,POINT (6170758 439337),2017-06-21,0.89,,19.4,3.2,5.17,7.47,,8.27,580,2.6,0.074,0.017,0.354,0.445,0.692,0.057,0.083,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/upiu_monitoringo_duomenys/UpiuValstybinioMonitoringoDuomenys,005e6450-4929-4e23-8004-617f999f678b,6a352bce-14a1-48e6-8ef6-8c5b49257ecb,,Šešupė,LTR26,Šešupė ties Lenkijos pasieniu,POINT (6024841 439134),2020-09-14,0.71,0.16,15.0,"<1,7",5.1,7.75,77.268,8.23,496,1.2,"<0,02","<0,004",0.08,0.104,0.66,0.01,0.045,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/upiu_monitoringo_duomenys/UpiuValstybinioMonitoringoDuomenys,00696576-3978-4302-9401-33012be41e03,72bf4aff-4999-45af-a9ca-c55569764aaf,,Ringuva,LTR450,Ringuva žemiau Užringuvio,POINT (6213402 436003),2020-09-21,0.056,0.077,10.8,14,7.1,2.3,20.796,7.7,799,4.2,0.066,0.005,0.092,0.163,0.938,0.53,0.73,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/upiu_monitoringo_duomenys/UpiuValstybinioMonitoringoDuomenys,006c908f-87e8-4e01-a38f-7d4d2c4f4a18,183cd0b1-c915-4185-af20-792c19456d8f,,Jūra,LTR1462,Jūra ties Visdžiaugais,POINT (6153794 374887),2017-12-11,16.4,,4.0,7.7,3.7,7.7,,8.5,296,2.1,0.025,0.011,0.91,0.946,2.0,0.014,0.048,59.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
