_id,telkinio_pav,m_vietos_pav,data,vandens_temp,suspend_medziagos,sarmingumas,deguon_istirpes,ph,elektr_laidis
e03ce263-7fa1-4cfa-91dd-bb7bd5942e22,NERIS,Neris ties Buivydžiais,2017-01-02,1.5,2.8,3.2,12.57,7.88,407.0
67f791cc-845e-4313-8ade-619eabe0aa09,NERIS,Neris aukščiau Panerių,2017-01-02,1.7,3.3,3.4,13.34,7.8,411.0
7e7d29a9-642f-44e7-9d4d-d471c1c698d7,NERIS,Neris aukščiau Kauno,2017-01-03,2.7,8.0,3.8,12.2,8.4,453.0
d4e2106a-8f76-40f0-bb7d-4a073e33dad5,NERIS,Neris ties Buivydžiais,2017-02-06,0.2,2.1,3.6,13.02,8.08,463.0
2f6e206e-4135-4b5e-be15-c58d4a529b9b,NERIS,Neris aukščiau Panerių,2017-02-06,0.3,4.2,3.8,13.75,7.98,446.0
1dda19c4-e1bd-47af-b447-0e5e7584dd49,NERIS,Neris aukščiau Kauno,2017-02-07,0.5,4.6,4.3,13.4,8.5,492.0
f8e090ea-79e9-4822-b608-4b04ec44fbfd,NERIS,Neris žemiau santakos su Žiežmara,2017-02-27,1.7,15.0,3.2,13.4,8.6,410.0
3ecb6470-f3b2-4fe3-9ab3-4993dc8d3a1d,NERIS,Neris ties Buivydžiais,2017-03-06,2.5,5.4,2.7,11.91,7.91,369.0
d53f9be0-032e-4ab9-990d-903a11b83cd0,NERIS,Neris aukščiau Panerių,2017-03-06,2.7,9.0,2.0,12.4,7.95,375.0
04111195-57a2-4f6f-8f34-47cb59b2acbc,NERIS,Neris aukščiau Kauno,2017-03-07,2.6,24.0,3.4,13.3,8.4,397.0
1bbce494-289e-4cb4-a94e-5b767202c105,NERIS,Neris aukščiau Panerių,2017-03-20,2.6,24.0,3.4,13.3,8.4,397.0
074afdb8-b115-494f-a516-a2af6d253926,NERIS,Neris ties Buivydžiais,2017-04-03,7.6,4.5,3.01,10.79,7.96,373.0
648d5e30-86cf-4d99-bfbd-691b9a89e218,NERIS,Neris aukščiau Panerių,2017-04-03,7.6,5.6,3.5,11.57,8.16,375.0
2d98f5e9-c8cc-4e5e-808b-6e87960982d1,NERIS,Neris aukščiau Kauno,2017-04-04,8.2,7.3,3.7,11.5,8.2,430.0
bfb169f2-4d88-40e6-bbf0-5080e00e5c21,NERIS,Neris žemiau santakos su Žiežmara,2017-04-12,9.3,7.3,3.5,11.3,8.3,399.0
f02c72f4-2cdd-4f22-a295-66c736db28a4,NERIS,Neris aukščiau Panerių,2017-05-08,12.9,4.5,3.2,11.08,6.95,371.0
aef24a90-2974-4bf2-95ca-a08a85564b28,NERIS,Neris ties Buivydžiais,2017-05-08,12.1,3.2,3.2,9.83,7.84,359.0
5d7da04b-8fe8-4719-82b5-606eab61d3b6,NERIS,Neris aukščiau Kauno,2017-05-09,12.5,10.0,4.6,9.8,8.1,431.0
1a916242-839c-4216-8595-9aa458d33ac6,NERIS,Neris ties Buivydžiais,2017-06-05,15.4,7.0,3.2,8.73,8.27,394.0
88404d87-7dd5-4121-bcec-646d31730af0,NERIS,Neris aukščiau Panerių,2017-06-05,15.5,7.4,4.2,9.9,8.58,397.0
1c53ed2b-2dbe-4b20-ac40-5f94931fd842,NERIS,Neris aukščiau Kauno,2017-06-06,17.6,20.0,4.1,9.7,8.6,442.0
b899aa80-cd71-4502-a992-31188abc4609,NERIS,Neris aukščiau Panerių,2017-07-03,17.5,7.7,3.3,8.61,7.81,390.0
bc721aa9-666b-4c01-8b49-e5e900857ac5,NERIS,Neris ties Buivydžiais,2017-07-03,17.3,9.0,2.8,7.87,7.95,391.0
ad4535c8-ad96-4407-843b-0348fa632077,NERIS,Neris aukščiau Kauno,2017-07-03,17.8,4.9,4.1,9.0,8.2,454.0
a52c6a48-2988-432d-af26-41449f1027df,NERIS,Neris ties Buivydžiais,2017-08-07,19.3,8.1,2.7,7.41,8.07,384.0
21f674ca-07e2-441d-9684-3e100eddbfe8,NERIS,Neris aukščiau Panerių,2017-08-07,19.7,7.9,3.8,7.76,7.97,394.0
8f24f1b6-ff27-4dad-847a-e3c9a4a9b0a0,NERIS,Neris aukščiau Kauno,2017-08-08,20.4,3.2,4.2,7.9,7.9,456.0
c03a02ce-43d9-4af1-b3bd-870a6944d3a5,NERIS,Neris žemiau santakos su Žiežmara,2017-08-23,20.1,8.4,3.8,8.8,8.3,393.0
53d0aa50-204a-4120-86cf-8e194cc41a0f,NERIS,Neris ties Buivydžiais,2017-09-04,16.4,4.2,2.8,7.73,7.81,355.0
1216a755-c917-4823-8b49-65d576a316e0,NERIS,Neris aukščiau Panerių,2017-09-04,16.4,8.8,3.1,8.25,7.67,364.0
0fd42201-c335-4f85-abb0-d67d22fd0f11,NERIS,Neris aukščiau Kauno,2017-09-04,17.9,7.3,4.1,8.3,8.3,424.0
bedb561f-ceb2-440d-b2d6-212d1614fb40,NERIS,Neris aukščiau Panerių,2017-10-02,11.8,15.0,3.2,8.92,8.12,386.0
b1a51b56-4936-40e3-8e5e-63b412d3fd48,NERIS,Neris ties Buivydžiais,2017-10-02,11.1,7.4,3.2,9.53,8.07,382.0
80dcb798-f8ec-498e-b9b3-1c0d5edf9f6a,NERIS,Neris aukščiau Kauno,2017-10-03,10.1,6.8,4.2,10.1,8.4,540.0
6621c135-81af-4860-ba30-eb224d264c99,NERIS,Neris žemiau santakos su Žiežmara,2017-10-16,10.6,10.0,3.7,9.1,8.0,402.0
1f4d1294-d8db-4a5a-ad27-1002e117e5a9,NERIS,Neris ties Buivydžiais,2017-11-06,5.8,3.8,2.9,10.66,7.95,395.0
